fht1,fht2,fht3,fht4,fht5,fht6,fht7,fht8,set9,set10,kmsi1,kmsi2,kmsi3,kmsi4,kmsi5,kmsi6,kmsi7,kmsi8,ust,spending_score_sum,spending_score_avg,saving_score_sum,saving_score_avg,payoff_score_sum,payoff_score_avg,planning_score_sum,planning_score_avg,debt_score_sum,debt_score_avg,loan_score_sum,loan_score_avg,worship_score_sum,worship_score_avg,extravagance_score_sum,extravagance_score_avg,vigilance_score_sum,vigilance_score_avg,spending_high_score_count,debt_to_payoff_ratio,loan_to_saving_ratio,worship_to_vigilance_ratio,extravagance_to_spending_ratio,debt_to_saving_ratio,worship_to_payoff_ratio,debt_worship_interaction,loan_extravagance_interaction,payoff_planning_interaction,spending_vigilance_interaction,debt_loan_interaction,worship_extravagance_interaction,saving_high_score_count,payoff_high_score_count,planning_high_score_count,debt_high_score_count,loan_high_score_count,worship_high_score_count,extravagance_high_score_count,vigilance_high_score_count,spending_score_var,saving_score_var,payoff_score_var,planning_score_var,debt_score_var,loan_score_var,worship_score_var,extravagance_score_var,vigilance_score_var
1.195,1.061,0.777,0.837,0.0,0.0,0.645,0.0,-0.645,-1.987,1.354,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,1.654,1.654,0.863,0.863,0.686,0.686,-0.874,-0.874,-2.16,-2.16,1.298,1.298,0.0,0.0,0.0,0.0,-1.475,-1.475,1.654,-2.092,0.594,0.8,0.008,-1.902,-0.685,-1.373,-1.15,-0.499,-1.074,-0.435,0.0,0.893,0.686,-0.874,-0.943,1.298,0.0,0.0,-1.475,-1.061,0.0,-0.645,1.354,-1.173,-0.943,0.0,0.0,-0.837
-0.837,1.061,0.777,0.837,0.0,0.0,0.645,0.0,-0.645,-0.518,1.354,0.645,0.0,0.0,0.0,0.0,1.354,0.0,0,0.174,0.174,0.863,0.863,0.686,0.686,0.777,0.777,-0.849,-0.849,1.298,1.298,0.0,0.0,0.0,0.0,1.164,1.164,0.174,-1.001,0.594,-1.142,0.008,-1.082,-0.685,-0.759,1.516,1.092,1.177,0.797,0.0,0.893,0.686,0.777,-0.943,1.298,0.0,0.0,1.164,0.943,0.0,-0.645,-0.739,-0.55,-0.943,0.0,0.0,-0.837
1.195,-0.943,-0.874,-1.195,0.0,0.0,-1.549,0.0,-0.645,-0.518,-0.739,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,1,0.174,0.174,-1.093,-1.093,0.686,0.686,-0.874,-0.874,-0.849,-0.849,-0.081,-0.081,0.0,0.0,0.0,0.0,-0.155,-0.155,0.174,-1.001,0.387,1.479,0.008,-0.097,2.067,1.084,0.183,-0.499,-0.074,-0.435,0.0,-1.275,0.686,-0.874,-0.943,-0.081,0.0,0.0,-0.155,0.943,0.0,-0.645,1.354,-0.55,1.061,0.0,0.0,1.195
1.195,-0.943,-0.874,0.837,0.0,0.0,-1.549,0.0,-0.645,0.95,-0.739,-1.549,0.0,0.0,0.0,0.0,1.354,0.0,0,0.174,0.174,-0.115,-0.115,-0.981,-0.981,-0.874,-0.874,0.463,0.463,-1.46,-1.46,0.0,0.0,0.0,0.0,1.164,1.164,0.174,0.817,-1.302,0.314,0.008,0.286,-0.227,2.312,-1.15,-1.825,1.177,-1.255,0.0,-0.191,-0.981,-0.874,1.061,-1.46,0.0,0.0,1.164,0.943,0.0,1.549,1.354,1.32,-0.943,0.0,0.0,-0.837
1.195,-0.943,0.777,0.837,0.0,0.0,0.645,0.0,-0.645,0.95,-0.739,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,0.174,0.174,0.863,0.863,0.686,0.686,0.777,0.777,0.463,0.463,-0.081,-0.081,0.0,0.0,0.0,0.0,-0.155,-0.155,0.174,0.09,-0.44,-0.56,0.008,-0.261,-0.685,-0.145,0.183,1.092,-0.074,0.386,0.0,0.893,0.686,0.777,1.061,-0.081,0.0,0.0,-0.155,0.943,0.0,-0.645,-0.739,1.32,1.061,0.0,0.0,1.195
-0.837,-0.943,0.777,0.837,0.0,0.0,0.645,0.0,1.549,0.95,-0.739,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,-1.306,-1.306,0.863,0.863,0.686,0.686,0.777,0.777,1.774,1.774,-0.081,-0.081,0.0,0.0,0.0,0.0,-0.155,-0.155,-1.306,1.181,-0.44,1.479,1.398,0.559,2.067,-0.145,0.183,1.092,-0.574,1.207,0.0,0.893,0.686,0.777,1.061,-0.081,0.0,0.0,-0.155,-1.061,0.0,-0.645,-0.739,-0.55,1.061,0.0,0.0,1.195
-0.837,-0.943,-0.874,-1.195,0.0,0.0,0.645,0.0,1.549,0.95,1.354,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,1,-1.306,-1.306,-1.093,-1.093,0.686,0.686,0.777,0.777,1.774,1.774,1.298,1.298,0.0,0.0,0.0,0.0,-0.155,-0.155,-1.306,1.181,1.836,-0.56,1.398,2.2,-0.685,0.47,1.516,1.092,-0.574,0.386,0.0,-1.275,0.686,0.777,1.061,1.298,0.0,0.0,-0.155,-1.061,0.0,-0.645,-0.739,-0.55,-0.943,0.0,0.0,1.195
-0.837,1.061,0.777,0.837,0.0,0.0,0.645,0.0,-0.645,0.95,-0.739,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,0.174,0.174,0.863,0.863,0.686,0.686,0.777,0.777,0.463,0.463,-0.081,-0.081,0.0,0.0,0.0,0.0,-0.155,-0.155,0.174,0.09,-0.44,-0.56,0.008,-0.261,-0.685,-0.145,0.183,1.092,-0.074,0.386,0.0,0.893,0.686,0.777,1.061,-0.081,0.0,0.0,-0.155,0.943,0.0,-0.645,-0.739,1.32,1.061,0.0,0.0,1.195
-0.837,1.061,0.777,0.837,0.0,0.0,-1.549,0.0,1.549,-0.518,-0.739,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,0.174,0.174,0.863,0.863,0.686,0.686,-0.874,-0.874,0.463,0.463,-0.081,-0.081,0.0,0.0,0.0,0.0,-0.155,-0.155,0.174,0.09,-0.44,-0.56,-2.309,-0.261,-0.685,-0.145,-0.706,-0.499,-0.074,0.386,0.0,0.893,0.686,-0.874,-0.943,-0.081,0.0,0.0,-0.155,0.943,0.0,-0.645,1.354,-1.173,1.061,0.0,0.0,1.195
1.195,1.061,-0.874,-1.195,0.0,0.0,0.645,0.0,1.549,-0.518,1.354,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,1.654,1.654,-1.093,-1.093,-0.981,-0.981,0.777,0.777,0.463,0.463,1.298,1.298,0.0,0.0,0.0,0.0,-1.475,-1.475,1.654,0.817,1.836,0.8,-0.985,1.051,-0.227,-0.145,1.516,-0.499,-1.074,2.028,0.0,-1.275,-0.981,0.777,-0.943,1.298,0.0,0.0,-1.475,-1.061,0.0,1.549,-0.739,-1.173,-0.943,0.0,0.0,-0.837
-0.837,1.061,0.777,0.837,0.0,0.0,0.645,0.0,1.549,-1.987,-0.739,-1.549,0.0,0.0,0.0,0.0,1.354,0.0,0,0.174,0.174,0.863,0.863,-0.981,-0.981,0.777,0.777,-0.849,-0.849,-1.46,-1.46,0.0,0.0,0.0,0.0,1.164,1.164,0.174,-0.456,-1.475,-1.142,0.008,-1.082,-0.227,-0.759,-1.15,-0.499,1.177,-1.666,0.0,0.893,-0.981,0.777,-0.943,-1.46,0.0,0.0,1.164,0.943,0.0,1.549,-0.739,-0.55,-0.943,0.0,0.0,-0.837
1.195,-0.943,-0.874,-1.195,0.0,0.0,-1.549,0.0,-0.645,0.95,-0.739,-1.549,0.0,0.0,0.0,0.0,1.354,0.0,1,0.174,0.174,-1.093,-1.093,-2.648,-2.648,-2.525,-2.525,0.463,0.463,-1.46,-1.46,0.0,0.0,0.0,0.0,1.164,1.164,0.174,1.836,-1.061,-1.142,0.008,1.051,0.415,-0.145,-1.15,-0.499,1.177,-1.255,0.0,-1.275,-2.648,-2.525,1.061,-1.46,0.0,0.0,1.164,0.943,0.0,-0.645,-0.739,1.32,-0.943,0.0,0.0,-0.837
-0.837,-0.943,0.777,-1.195,0.0,0.0,0.645,0.0,-0.645,-0.518,-0.739,-1.549,0.0,0.0,0.0,0.0,1.354,0.0,0,-1.306,-1.306,-0.115,-0.115,0.686,0.686,-0.874,-0.874,-0.849,-0.849,-1.46,-1.46,0.0,0.0,0.0,0.0,1.164,1.164,-1.306,-1.001,-1.302,-1.142,1.398,-0.672,-0.685,-0.759,-1.15,-0.499,0.427,-1.666,0.0,-0.191,0.686,-0.874,-0.943,-1.46,0.0,0.0,1.164,-1.061,0.0,-0.645,1.354,-0.55,-0.943,0.0,0.0,-0.837
1.195,1.061,-0.874,-1.195,0.0,0.0,-1.549,0.0,-0.645,0.95,1.354,-1.549,0.0,0.0,0.0,0.0,1.354,0.0,1,1.654,1.654,-1.093,-1.093,-0.981,-0.981,-0.874,-0.874,0.463,0.463,-0.081,-0.081,0.0,0.0,0.0,0.0,1.164,1.164,1.654,0.817,0.387,-1.142,-0.985,1.051,-0.227,-0.145,0.183,-1.825,1.928,0.386,0.0,-1.275,-0.981,-0.874,1.061,-0.081,0.0,0.0,1.164,-1.061,0.0,1.549,1.354,1.32,1.061,0.0,0.0,-0.837
-0.837,1.061,0.777,0.837,0.0,0.0,0.645,0.0,-0.645,-0.518,1.354,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,0.174,0.174,0.863,0.863,0.686,0.686,0.777,0.777,-0.849,-0.849,1.298,1.298,0.0,0.0,0.0,0.0,-1.475,-1.475,0.174,-1.001,0.594,0.8,0.008,-1.082,-0.685,-0.759,1.516,1.092,-1.325,0.797,0.0,0.893,0.686,0.777,-0.943,1.298,0.0,0.0,-1.475,0.943,0.0,-0.645,-0.739,-0.55,-0.943,0.0,0.0,-0.837
-0.837,-0.943,0.777,0.837,0.0,0.0,0.645,0.0,-0.645,0.95,-0.739,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,-1.306,-1.306,0.863,0.863,0.686,0.686,0.777,0.777,0.463,0.463,-0.081,-0.081,0.0,0.0,0.0,0.0,-0.155,-0.155,-1.306,0.09,-0.44,1.479,1.398,-0.261,2.067,2.312,0.183,1.092,-0.574,0.386,0.0,0.893,0.686,0.777,1.061,-0.081,0.0,0.0,-0.155,-1.061,0.0,-0.645,-0.739,1.32,1.061,0.0,0.0,1.195
-0.837,-0.943,-2.525,-1.195,0.0,0.0,0.645,0.0,-0.645,-0.518,-0.739,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,-1.306,-1.306,-2.072,-2.072,-0.981,-0.981,0.777,0.777,-0.849,-0.849,-0.081,-0.081,0.0,0.0,0.0,0.0,-1.475,-1.475,-1.306,-0.456,1.112,0.8,-1.382,0.764,-0.227,-0.759,-0.706,-0.499,-1.575,-0.435,0.0,-1.275,-0.981,0.777,-0.943,-0.081,0.0,0.0,-1.475,-1.061,0.0,1.549,-0.739,-0.55,1.061,0.0,0.0,-0.837
